full_prof_name,class_name
r-r-duke,engl-4w
rhonda-sharrah,engl-4w
m-martinez-fernande,engl-4w
kim-fisher,engl-10a
arthur-m-cohen,engl-10b
a-z-tumbaga,engl-20w
joseph-a-dimuro,engl-80
christopher-m-mott,engl-85
christopher-looby,engl-m101d
helen-e-deutsch,engl-m103
richard-yarborough,engl-m104a
harryette-r-mullen,engl-m104e
r.-torres,engl-m105c
steve-s-lee,engl-m107a
christopher-stephan,engl-110a
blake-allmendinger,engl-110v
blake-allmendinger,engl-115d
guinevere-turner,engl-118a
colleen-jaurretche,engl-119
saree-makdisi,engl-119
mitchum-huehls,engl-120
uri-mcmillan,engl-127
bonnie-foote,engl-135
j.a.-danan,environ-m1a
None,environ-140
None,environ-155
bernard-gold,environ-166
alan-i-barreca,environ-175
nanibaa-garrison,environ-180a
carl-a-maida,environ-185a
rebecca-shipe,environ-188b
irwin-suffet,env-hlt-101
miriam-marlier,env-hlt-c185a
j-tsai,env-hlt-c200a
j-tsai,env-hlt-255
shane-que-hee,env-hlt-256
None,env-hlt-259b
lara-j-cushing,env-hlt-414a
riley-ceperich,env-hlt-m471
marjan-javanbakht,epidem-120
None,epidem-200a
jennifer-kuo,epidem-m203
None,epidem-m204
pamina-m-gorbach,epidem-232
tzu-chin-chen,epidem-241
None,epidem-242
tzu-chin-chen,epidem-m254
brian-bradbury,epidem-268
None,epidem-m403
helen-rees,ethnmus-20c
jesse-ruskin,ethnmus-m25
anna-morcom,ethnmus-46w
marc-bolin,ethnmus-m50a
None,ethnmus-122
None,ethnmus-m131
melissa-bilal,ethnmus-m134
None,ethnmus-135
li-li,ethnmus-158
robert-allen-rushing,elts-140
a-l-hernandez,food-st-187
james-bassett,food-st-187
lilia-illes,geog-2
thomas-w-gillespie,geog-107
lilia-illes,geog-109
william-herrera,geog-146
kaily-a-heitz,geog-161
None,geog-171a
stephen-a-bell,geog-172a
y-shen,geog-181a
zhou-min,geog-182b
k.a.-serrano,geog-200a
kyle-c-cavanaugh,geog-201
li-li,geog-255
jesse-ruskin,gj-stds-m25
marc-bolin,gj-stds-m50a
harrison-katz,gj-stds-122a
tamir-hendelman,gj-stds-129a
None,gj-stds-m131
tejas-parasher,glbl-st-1
kal-raustiala,glbl-st-160
cindy-sangalang,hlt-pol-m110
None,hlt-pol-142
a.v.-balakrishnan,hlt-pol-200a
kevin-shih,hlt-pol-200a
jennifer-kuo,hlt-pol-m201
None,hlt-pol-225a
None,hlt-pol-239a
None,hlt-pol-243
None,hlt-pol-286
None,hlt-pol-403
n-pourat,hlt-pol-439
jean-hinshaw,hlt-pol-440a
julie-elginer,hlt-pol-445
m.r.-phillips,hlt-pol-446
david-d-phillips,hist-1a
stefania-tutino,hist-1b
diana-ford,hist-1c
alexander-a.-kapur,hist-3a
kevin-terraciano,hist-8a
sanjay-subrahmanyam,hist-9a
james-l-gelvin,hist-9d
richard-von-glahn,hist-11a
james-kelley,hist-12b
m-meranze,hist-13a
andrew-koh,hist-20
barton-myers,hist-94
maran-momdjian,hist-111b
david-d-phillips,hist-113a
gregory-woolf,hist-114a
john-s-langdon,hist-116a
lauren-f-guerra,hnrs-m145
m-c-palmer,hum-gen-401
yolanda-juanita-gorman,hum-gen-406
joshua-deignan,hum-gen-430
lucy-tucker-yates,i-e-std-m168a
clayton-cameron,i-e-std-205
t-t-vo-dang,inf-std-211
None,inf-std-275
quyen-nguyen,inf-std-278
robert-delgado-montoya,inf-std-423
joanna-kristen-fabicon,inf-std-424
anne-gilliland,inf-std-431
adina-matisoff,i-a-std-1
None,i-a-std-m8a
None,i-a-std-160
hannah-appel,intl-dv-1
suzanne-wright,intl-dv-110
jung-won-kim,intl-dv-160
weng-kee-wong,lbr-std-10
trevor-griffey,lbr-std-101
frank-tobias-higbie,lbr-std-m105
steve-stroessner,lbr-std-m117
None,lbr-std-m125
virginia-espino,lbr-std-m127
virginia-espino,lbr-std-140
loretta-m.-gaffney,lbr-std-153
juliana-newman,lbr-std-168
paul-von-blum,lbr-std-m175
raymond-rocco,lbr-std-179a
bonnie-taub,latn-am-205
catrice-monson,law-103
kayleen-r.-hartman,law-105
cynthia-merrill,law-113
cynthia-merrill,law-114
alexander-alben,law-117
shirin-bakhshay,law-202
christine-goodman,law-205
hillary-slevin,law-207
steven-heilman,law-211
eileen-scallen,law-211
paul-wonsowicz,law-211
jon-michaels,law-216
saba-ebrahimi,law-217
steven-bank,law-220
kimberly-anne-clausing,law-220
jason-s-oh,law-220
elizabeth-bawden,law-222
stephen-bainbridge,law-230
fernan-restrepo,law-230
andrew-verstein,law-230
john-power,law-234
park-williams,law-236
jennifer-marie-dixton,law-240
noah-zatz,law-260
a.j.-liszkiewicz,law-261
joseph-rene-fishkin,law-263
christopher-looby,lgbtqs-m101d
None,lgbtqs-m114
j-c-johnson,lgbtqs-m137
None,lgbtqs-183
debra-b-pires,lifesci-7a
andrea-burton,lifesci-7a
j.p.-maloy,lifesci-7a
d-c-pham,lifesci-7a
j.p.-maloy,lifesci-7a
ko-honda,lifesci-7a
debra-b-pires,lifesci-7b
kane-pithey,lifesci-7b
joseph-esdin,lifesci-7c
rima-khankan,lifesci-7c
gaston-m-pfluegl,lifesci-7l
j.p.-maloy,lifesci-15
steve-bennoun,lifesci-30a
steve-bennoun,lifesci-30a
yevgenya-shevtsov,lifesci-30a
yevgenya-shevtsov,lifesci-30a
None,lifesci-m32
d-c-pham,lifesci-107
stephen-a-bell,ling-103
yuan-zhang,ling-105
d.m.-mantonya,ling-110
sam-zukoff,ling-119a
sam-zukoff,ling-120a
jevon-hunter,ling-120b
dylan-bumford,ling-120c
None,ling-132
daria-bahtina,ling-c140
giuseppina-silvestri,ling-165b
None,ling-185a
None,ling-200a
ethan-poole,ling-200b
dylan-bumford,ling-200c
margaret-cychosz,ling-204b
julie-ann-gardner-treloar,mgmt-1a
julie-ann-gardner-treloar,mgmt-1a
None,mgmt-1b
jane-guerin,mgmt-108
marc-klein,mgmt-108
lu-liu,mgmt-120a
tamara-l-berges,mgmt-120a
marc-klein,mgmt-120b
lu-liu,mgmt-120b
casey-borman,mgmt-121
david-stephen-devito,mgmt-122
julie-ann-gardner-treloar,mgmt-123
None,mgmt-124
tamara-l-berges,mgmt-127a
marc-klein,mgmt-127a
david-ravetch,mgmt-142a
david-ravetch,mgmt-142a
david-a-nathanson,mgmt-159
wilson-chen,mgmt-160
wilson-chen,mgmt-160
david-a-nathanson,mgmt-161
casey-borman,mgmt-164
None,mgmt-168
mark-karlan,mgmt-170
a-a-gooch,mgmt-180
daniel-sussman,mgmt-228
jim-s-newton,mgmt-231e
mark-garmaise,mgmt-235
iris-firstenberg,mgmt-250d
constanca-medeiros-esteves-sorenson,mgmt-264a
d-d-kim,mat-sci-104
marta-pozuelo,mat-sci-104
gabriel-freiman,mat-sci-105
a-a-gooch,"crystal-structure,-nanostructures,-and-x-ray-scattering-lec-1"
magdalena-balonis,mat-sci-130
eric-p-bescher,mat-sci-160
carlos-morales-guio,mat-sci-cm163
chase-linsley,mat-sci-cm180
yang-yang,mat-sci-200
amartya-banerjee,mat-sci-201
ioanna-kakoulli,mat-sci-m213
jaime-marian,mat-sci-243c
q.-li,mat-sci-252
x-xiao,mat-sci-253
carlos-morales-guio,mat-sci-cm263
chase-linsley,mat-sci-cm280
