class_name,class_dates,class_times,year,semester
Bioengineering (BIOENGR) M184 - Introduction to Computational and Systems Biology Lec 1,F,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) 188 - Special Courses in Bioengineering Lec 2,MW,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) C204 - Physical Chemistry of Biomacromolecules Lec 1,TR,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) C205 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,2024,fall
Bioengineering (BIOENGR) M209 - Signal and Image Processing for Biomedicine Lec 1,8:30am-10:30am,Select Bioengineering (BIOENGR) M209 - Signal and Image Processing for Biomedicine Lec 1,2024,fall
Bioengineering (BIOENGR) M214A - Digital Speech Processing Lec 1,MW,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) M215 - Biochemical Reaction Engineering Lec 1,TR,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) 220 - Introduction to Medical Informatics Lec 1,Select Bioengineering (BIOENGR) 220 - Introduction to Medical Informatics Lec 1,Select Bioengineering (BIOENGR) 220 - Introduction to Medical Informatics Lec 1,2024,fall
Bioengineering (BIOENGR) 223A - Programming Laboratory for Medical and Imaging Informatics I Lec 1,Select Bioengineering (BIOENGR) 223A - Programming Laboratory for Medical and Imaging Informatics I Lec 1,Select Bioengineering (BIOENGR) 223A - Programming Laboratory for Medical and Imaging Informatics I Lec 1,2024,fall
Bioengineering (BIOENGR) M227 - Medical Information Infrastructures and Internet Technologies Lec 1,Select Bioengineering (BIOENGR) M227 - Medical Information Infrastructures and Internet Technologies Lec 1,Select Bioengineering (BIOENGR) M227 - Medical Information Infrastructures and Internet Technologies Lec 1,2024,fall
Bioengineering (BIOENGR) C235 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,2024,fall
Bioengineering (BIOENGR) CM245 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) 275 - Machine Learning and Data-Driven Modeling in Bioengineering Lec 1,TR,2pm-3:50pm,2024,fall
Bioengineering (BIOENGR) CM278 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,2024,fall
Bioengineering (BIOENGR) 298 - Special Studies in Bioengineering Lec 2,MW,12pm-1:50pm,2024,fall
Bioinformatics (Graduate) (BIOINFO) 229 - Current Topics in Bioinformatics Lec 1,3pm-4:50pm,Select Bioinformatics (Graduate) (BIOINFO) 229 - Current Topics in Bioinformatics Lec 1,2024,fall
Biomathematics (BIOMATH) 170A - Introductory Biomathematics for Medical Investigators Lec 1,MW,12pm-1:20pm,2024,fall
Biomathematics (BIOMATH) 200 - Research Frontiers in Biomathematics Lec 1,W,9am-10:50am,2024,fall
Biomathematics (BIOMATH) 201 - Deterministic Models in Biology Lec 1,MW,12pm-1:50pm,2024,fall
"Biomathematics (BIOMATH) 202 - Biological Systems: Structure, Function, Evolution Lec 1",TR,9am-10:50am,2024,fall
Biomathematics (BIOMATH) M260A - Methodology in Clinical Research I Lec 1,MW,10am-11:20am,2024,fall
Biomathematics (BIOMATH) M261 - Responsible Conduct of Research Involving Humans Lec 1,W,4pm-5:50pm,2024,fall
Biomathematics (BIOMATH) M281 - Survival Analysis Lec 1,TR,10am-11:50am,2024,fall
Biomathematics (BIOMATH) M282 - Longitudinal Data Lec 1,TR,1pm-2:50pm,2024,fall
Biomedical Research (BMD RES) 1A - Science in Your Time Lec 1,MWF,10am-10:50am,2024,fall
Biomedical Research (BMD RES) 5HA - Biomedical Research: Concepts and Strategies Lec 1,TR,11am-12:15pm,2024,fall
Biomedical Research (BMD RES) 5HB - Biomedical Research: Essential Skills and Concepts Lec 1,TR,11am-12:15pm,2024,fall
Biostatistics (BIOSTAT) 120 - Biostatistics in Public Health Lec 1,TR,1pm-2:50pm,2024,fall
Biostatistics (BIOSTAT) 200A - Methods in Biostatistics A Lec 1,TR,8am-9:50am,2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 1,MW,2:30pm-4:20pm,2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 80,Select Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 83,8:30am-12:30pm,2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 83,8:30am-12:30pm,Select Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 1,2024,fall
Biostatistics (BIOSTAT) 202C - Theory of Bayesian Statistics Lec 1,M,W,2024,fall
Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 1,MW,1pm-2:20pm,2024,fall
Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 80,Select Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 1,MW,2024,fall
Biostatistics (BIOSTAT) 211A - Topics in Applied Regression Lec 1,MWF,9am-9:50am,2024,fall
Biostatistics (BIOSTAT) 213 - Introduction to Computational Methods in Biostatistics Lec 1,MW,10am-11:50am,2024,fall
Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 1,TR,10am-11:50am,2024,fall
Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 80,Select Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 1,TR,2024,fall
Biostatistics (BIOSTAT) 216 - Mathematical Methods for Biostatistics Lec 1,TR,10am-11:50am,2024,fall
Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 1,TR,1pm-2:50pm,2024,fall
Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 80,Select Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 1,TR,2024,fall
Biostatistics (BIOSTAT) 250A - Linear Statistical Models Lec 1,W,F,2024,fall
Biostatistics (BIOSTAT) M403B - Computer Management and Analysis of Health Data Using SAS Lec 1,MW,3pm-5:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 1,MWF,10am-10:50am,2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 2,MWF,1pm-1:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 3,MWF,3pm-3:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14B - General Chemistry for Life Scientists II Lec 1,MWF,12pm-12:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 1,T,8am-8:50am,2024,fall
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 2,R,8am-8:50am,2024,fall
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 1,MWF,12pm-12:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 2,MWF,2pm-2:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 14CL - General and Organic Chemistry Laboratory II Lec 1,T,8am-8:50am,2024,fall
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 1,MWF,9am-9:50am,2024,fall
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 2,MWF,11am-11:50am,2024,fall
Chemistry and Biochemistry (CHEM) 17 - Chemical Principles Lec 1,MWF,4pm-4:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 1,MWF,8am-8:50am,2024,fall
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 2,MWF,11am-11:50am,2024,fall
Chemistry and Biochemistry (CHEM) 20AH - Chemical Structure (Honors) Lec 1,MWF,12pm-12:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 30A - Organic Chemistry I: Structure and Reactivity Lec 1,MWF,12pm-12:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 30AL - General Chemistry Laboratory II Lec 1,M,9am-9:50am,2024,fall
"Chemistry and Biochemistry (CHEM) 30B - Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy Lec 1",MWF,2pm-2:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 30BL - Organic Chemistry Laboratory I Lec 1,M,8am-8:50am,2024,fall
Chemistry and Biochemistry (CHEM) 30CL - Organic Chemistry Laboratory II Lec 1,TR,11am-11:50am,2024,fall
Chemistry and Biochemistry (CHEM) C107 - Organometallic Chemistry Lec 1,MWF,F,2024,fall
Chemistry and Biochemistry (CHEM) 110A - Physical Chemistry: Chemical Thermodynamics Lec 1,MWF,11am-11:50am,2024,fall
Chemistry and Biochemistry (CHEM) 110B - Topics in Physical Chemistry Lec 1,MWF,9am-9:50am,2024,fall
Chemistry and Biochemistry (CHEM) 113A - Physical Chemistry: Introduction to Quantum Mechanics Lec 1,MWF,12pm-12:50pm,2024,fall
Chemistry and Biochemistry (CHEM) C115A - Advanced Quantum Chemistry with Laboratory I Lec 1,MW,9am-10:15am,2024,fall
Chemistry and Biochemistry (CHEM) C123A - Advanced Thermodynamics and Statistical Mechanics with Laboratory I Lec 1,TR,9am-10:15am,2024,fall
Chemistry and Biochemistry (CHEM) M124 - Philosophy of Science: Historical Lec 1,MW,2pm-3:15pm,2024,fall
Chemistry and Biochemistry (CHEM) 125 - Introduction to Python Programming and Machine Learning Lec 1,MWF,2pm-2:50pm,2024,fall
Chemistry and Biochemistry (CHEM) C223A - Advanced Thermodynamics and Statistical Mechanics with Laboratory I Lec 1,TR,9am-10:15am,2024,fall
Chemistry and Biochemistry (CHEM) C232A - Core Principles in Cell and Molecular Biology Lec 1,10am-11:50am,Select Chemistry and Biochemistry (CHEM) C232A - Core Principles in Cell and Molecular Biology Lec 1,2024,fall
Chemistry and Biochemistry (CHEM) 236 - Spectroscopic Methods of Organic Chemistry Lec 1,MWF,1pm-1:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 244A - Organic Synthesis: Methodology and Stereochemistry Lec 1,MWF,M,2024,fall
Chemistry and Biochemistry (CHEM) 258 - Advanced Topics in Biochemistry and Molecular Biology Lec 1,12pm-1:50pm,Select Chemistry and Biochemistry (CHEM) 258 - Advanced Topics in Biochemistry and Molecular Biology Lec 1,2024,fall
Chemistry and Biochemistry (CHEM) 269A - Protein Structure Lec 1,9am-10:50am,Select Chemistry and Biochemistry (CHEM) 269A - Protein Structure Lec 1,2024,fall
Chemistry and Biochemistry (CHEM) 269B - Biocatalysis and Bioenergetics Lec 1,9am-10:50am,Select Chemistry and Biochemistry (CHEM) 269B - Biocatalysis and Bioenergetics Lec 1,2024,fall
Chemistry and Biochemistry (CHEM) 269C - Nucleic Acid Structure and Catalysis Lec 1,9am-10:50am,Select Chemistry and Biochemistry (CHEM) 269C - Nucleic Acid Structure and Catalysis Lec 1,2024,fall
Chemistry and Biochemistry (CHEM) 269D - Mechanism and Regulation of Gene Expression Lec 1,9am-10:50am,Select Chemistry and Biochemistry (CHEM) 269D - Mechanism and Regulation of Gene Expression Lec 1,2024,fall
"Chemistry and Biochemistry (CHEM) 269E - Biomolecular Structure, Catalysis, and Regulation Lec 1",9am-10:50am,"Select Chemistry and Biochemistry (CHEM) 269E - Biomolecular Structure, Catalysis, and Regulation Lec 1",2024,fall
Classics (CLASSIC) 10 - Discovering Greeks Lec 1,MWF,9am-9:50am,2024,fall
Classics (CLASSIC) 51A - Art and Archaeology of Ancient Greece Lec 1,TR,9:30am-10:45am,2024,fall
Classics (CLASSIC) 144 - Topical Studies in Ancient Culture: Classics and Social Justice Lec 1,MW,12:30pm-1:45pm,2024,fall
Classics (CLASSIC) M146A - Plato--Earlier Dialogues Lec 1,TR,11am-12:15pm,2024,fall
Classics (CLASSIC) M153K - Classical Archaeology: Greco-Roman Painting Lec 1,TR,12:30pm-1:45pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 1,MW,10am-11:50am,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 2,MW,12pm-1:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 3,MW,2pm-3:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 4,TR,4pm-5:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 5,TR,10am-11:50am,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 6,TR,12pm-1:50pm,2024,fall
