class_name,class_dates,class_times,class_professor,year,semester,prof_rating,bruin_walk_url
Bioengineering (BIOENGR) M215 - Biochemical Reaction Engineering Lec 1,TR,2pm-3:50pm,"Annabi, N.",2024,fall,N/A,https://bruinwalk.com/professors/nasim-annabi/bioengr-m215/
Bioengineering (BIOENGR) C235 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,"Sangiorgio, S.N.",2024,fall,N/A,https://bruinwalk.com/professors/sophia-sangiorgio/bioengr-c235/
Bioengineering (BIOENGR) CM245 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,"Park, J.",2024,fall,N/A,https://bruinwalk.com/professors/park-williams
Bioengineering (BIOENGR) C266 - Wearable Bioelectronics Lec 1,MW,4pm-5:50pm,"Chen, J.",2024,fall,N/A,https://bruinwalk.com/professors/j-chen
Biomathematics (BIOMATH) 170A - Introductory Biomathematics for Medical Investigators Lec 1,MW,12pm-1:20pm,"Gornbein, J.A.",2024,fall,N/A,https://bruinwalk.com/professors/jeffrey-gornbein/biomath-170a/
Biomathematics (BIOMATH) 200 - Research Frontiers in Biomathematics Lec 1,W,9am-10:50am,"Sehl, M.E.",2024,fall,N/A,https://bruinwalk.com/professors/mary-elizabeth-sehl/biomath-200/
Biomathematics (BIOMATH) 201 - Deterministic Models in Biology Lec 1,MW,12pm-1:50pm,"Chou, T.",2024,fall,N/A,https://bruinwalk.com/professors/hung-chou
"Biomathematics (BIOMATH) 202 - Biological Systems: Structure, Function, Evolution Lec 1",TR,9am-10:50am,"Savage, V.M.",2024,fall,N/A,https://bruinwalk.com/professors/roger-savage
Biomathematics (BIOMATH) M260A - Methodology in Clinical Research I Lec 1,MW,10am-11:20am,"Tseng, C.",2024,fall,N/A,https://bruinwalk.com/professors/linda-tseng/biomath-m260a/
Biomathematics (BIOMATH) M261 - Responsible Conduct of Research Involving Humans Lec 1,W,4pm-5:50pm,"Wenger, N.S.",2024,fall,N/A,https://bruinwalk.com/professors/neil-wenger/biomath-m261/
Biomathematics (BIOMATH) M281 - Survival Analysis Lec 1,TR,10am-11:50am,No instructors,2024,fall,N/A,N/A
Biomathematics (BIOMATH) M282 - Longitudinal Data Lec 1,TR,1pm-2:50pm,No instructors,2024,fall,N/A,N/A
Biomedical Research (BMD RES) 1A - Science in Your Time Lec 1,MWF,10am-10:50am,No instructors,2024,fall,N/A,N/A
Biomedical Research (BMD RES) 5HA - Biomedical Research: Concepts and Strategies Lec 1,TR,11am-12:15pm,"Fluitt, A.H.",2024,fall,4.2,https://bruinwalk.com/professors/amy-fluitt/bmd-res-5ha/
